subject,condition,encode_phase,response_phase,prop,mem_prop,_count,mem_count,group
2,1,1,1,0.16666666666666666,0.18181818181818185,4,4,healthy
2,1,1,2,0.6666666666666666,0.6818181818181818,16,15,healthy
2,1,1,3,0.16666666666666666,0.13636363636363635,4,3,healthy
2,1,2,1,0.2916666666666667,0.1111111111111111,7,2,healthy
2,1,2,2,0.625,0.8333333333333334,15,15,healthy
2,1,2,3,0.08333333333333333,0.05555555555555555,2,1,healthy
2,1,3,1,0.125,0.13636363636363635,3,3,healthy
2,1,3,2,0.625,0.6818181818181818,15,15,healthy
2,1,3,3,0.25,0.18181818181818185,6,4,healthy
2,2,1,1,0.2916666666666667,0.1875,7,3,healthy
2,2,1,2,0.3333333333333333,0.4375,8,7,healthy
2,2,1,3,0.375,0.375,9,6,healthy
2,2,2,1,0.5833333333333334,0.4444444444444444,14,4,healthy
2,2,2,2,0.25,0.4444444444444444,6,4,healthy
2,2,2,3,0.16666666666666666,0.1111111111111111,4,1,healthy
2,2,3,1,0.4166666666666667,0.5,10,6,healthy
2,2,3,2,0.25,0.3333333333333333,6,4,healthy
2,2,3,3,0.3333333333333333,0.16666666666666666,8,2,healthy
3,1,1,1,0.5,0.2222222222222222,12,2,healthy
3,1,1,2,0.25,0.5555555555555556,6,5,healthy
3,1,1,3,0.25,0.2222222222222222,6,2,healthy
3,1,2,1,0.20833333333333331,0.0,5,0,healthy
3,1,2,2,0.4583333333333333,0.6666666666666666,11,4,healthy
3,1,2,3,0.3333333333333333,0.3333333333333333,8,2,healthy
3,1,3,1,0.2916666666666667,0.2222222222222222,7,2,healthy
3,1,3,2,0.25,0.2222222222222222,6,2,healthy
3,1,3,3,0.4583333333333333,0.5555555555555556,11,5,healthy
3,2,1,1,0.5,0.375,12,3,healthy
3,2,1,2,0.375,0.5,9,4,healthy
3,2,1,3,0.125,0.125,3,1,healthy
3,2,2,1,0.4166666666666667,0.0,10,0,healthy
3,2,2,2,0.375,0.0,9,0,healthy
3,2,2,3,0.20833333333333331,1.0,5,1,healthy
3,2,3,1,0.4166666666666667,0.5,10,2,healthy
3,2,3,2,0.375,0.25,9,1,healthy
3,2,3,3,0.20833333333333331,0.25,5,1,healthy
4,1,1,1,0.4166666666666667,0.6,10,9,healthy
4,1,1,2,0.25,0.13333333333333333,6,2,healthy
4,1,1,3,0.3333333333333333,0.26666666666666666,8,4,healthy
4,1,2,1,0.375,0.5,9,5,healthy
4,1,2,2,0.3333333333333333,0.3,8,3,healthy
4,1,2,3,0.2916666666666667,0.2,7,2,healthy
4,1,3,1,0.25,0.3333333333333333,6,5,healthy
4,1,3,2,0.375,0.3333333333333333,9,5,healthy
4,1,3,3,0.375,0.3333333333333333,9,5,healthy
4,2,1,1,0.2916666666666667,0.26666666666666666,7,4,healthy
4,2,1,2,0.4166666666666667,0.4,10,6,healthy
4,2,1,3,0.2916666666666667,0.3333333333333333,7,5,healthy
4,2,2,1,0.4166666666666667,0.4,10,6,healthy
4,2,2,2,0.3333333333333333,0.4,8,6,healthy
4,2,2,3,0.25,0.2,6,3,healthy
4,2,3,1,0.3333333333333333,0.5,8,4,healthy
4,2,3,2,0.4583333333333333,0.375,11,3,healthy
4,2,3,3,0.20833333333333331,0.125,5,1,healthy
5,1,1,1,0.04166666666666666,0.043478260869565216,1,1,healthy
5,1,1,2,0.75,0.7826086956521741,18,18,healthy
5,1,1,3,0.20833333333333331,0.17391304347826084,5,4,healthy
5,1,2,1,0.08333333333333333,0.045454545454545456,2,1,healthy
5,1,2,2,0.875,0.9090909090909092,21,20,healthy
5,1,2,3,0.04166666666666666,0.045454545454545456,1,1,healthy
5,1,3,1,0.08333333333333333,0.05263157894736842,2,1,healthy
5,1,3,2,0.7083333333333334,0.8421052631578947,17,16,healthy
5,1,3,3,0.20833333333333331,0.10526315789473684,5,2,healthy
5,2,1,1,0.125,0.10526315789473684,3,2,healthy
5,2,1,2,0.5416666666666666,0.6842105263157895,13,13,healthy
5,2,1,3,0.3333333333333333,0.21052631578947367,8,4,healthy
5,2,2,1,0.08333333333333333,0.05882352941176471,2,1,healthy
5,2,2,2,0.375,0.5294117647058824,9,9,healthy
5,2,2,3,0.5416666666666666,0.4117647058823529,13,7,healthy
5,2,3,1,0.125,0.1,3,2,healthy
5,2,3,2,0.2916666666666667,0.35,7,7,healthy
5,2,3,3,0.5833333333333334,0.55,14,11,healthy
6,1,1,1,0.2916666666666667,0.125,7,1,healthy
6,1,1,2,0.5416666666666666,0.75,13,6,healthy
6,1,1,3,0.16666666666666666,0.125,4,1,healthy
6,1,2,1,0.125,0.10526315789473684,3,2,healthy
6,1,2,2,0.7083333333333334,0.7368421052631579,17,14,healthy
6,1,2,3,0.16666666666666666,0.15789473684210525,4,3,healthy
6,1,3,1,0.20833333333333331,0.14285714285714285,5,2,healthy
6,1,3,2,0.7083333333333334,0.7857142857142857,17,11,healthy
6,1,3,3,0.08333333333333333,0.07142857142857142,2,1,healthy
6,2,1,1,0.4166666666666667,0.0,10,0,healthy
6,2,1,2,0.25,0.5,6,2,healthy
6,2,1,3,0.3333333333333333,0.5,8,2,healthy
6,2,2,1,0.5416666666666666,1.0,13,2,healthy
6,2,2,2,0.04166666666666666,0.0,1,0,healthy
6,2,2,3,0.4166666666666667,0.0,10,0,healthy
6,2,3,1,0.375,0.5,9,1,healthy
6,2,3,2,0.16666666666666666,0.5,4,1,healthy
6,2,3,3,0.4583333333333333,0.0,11,0,healthy
7,1,1,1,0.3333333333333333,0.2857142857142857,8,2,healthy
7,1,1,2,0.20833333333333331,0.42857142857142855,5,3,healthy
7,1,1,3,0.4583333333333333,0.2857142857142857,11,2,healthy
7,1,2,1,0.20833333333333331,0.2,5,2,healthy
7,1,2,2,0.625,0.7,15,7,healthy
7,1,2,3,0.16666666666666666,0.1,4,1,healthy
7,1,3,1,0.25,0.0,6,0,healthy
7,1,3,2,0.3333333333333333,0.625,8,5,healthy
7,1,3,3,0.4166666666666667,0.375,10,3,healthy
7,2,1,1,0.375,0.5,9,2,healthy
7,2,1,2,0.25,0.25,6,1,healthy
7,2,1,3,0.375,0.25,9,1,healthy
7,2,2,1,0.5416666666666666,0.3,13,3,healthy
7,2,2,2,0.3333333333333333,0.5,8,5,healthy
7,2,2,3,0.125,0.2,3,2,healthy
7,2,3,1,0.7083333333333334,0.3333333333333333,17,1,healthy
7,2,3,2,0.08333333333333333,0.3333333333333333,2,1,healthy
7,2,3,3,0.20833333333333331,0.3333333333333333,5,1,healthy
8,1,1,1,0.20833333333333331,0.2,5,3,healthy
8,1,1,2,0.4166666666666667,0.6,10,9,healthy
8,1,1,3,0.375,0.2,9,3,healthy
8,1,2,1,0.08333333333333333,0.047619047619047616,2,1,healthy
8,1,2,2,0.7916666666666666,0.8095238095238095,19,17,healthy
8,1,2,3,0.125,0.14285714285714285,3,3,healthy
8,1,3,1,0.16666666666666666,0.1176470588235294,4,2,healthy
8,1,3,2,0.5,0.5294117647058824,12,9,healthy
8,1,3,3,0.3333333333333333,0.35294117647058826,8,6,healthy
8,2,1,1,0.3333333333333333,0.2307692307692308,8,3,healthy
8,2,1,2,0.375,0.4615384615384616,9,6,healthy
8,2,1,3,0.2916666666666667,0.3076923076923077,7,4,healthy
8,2,2,1,0.2916666666666667,0.15384615384615385,7,2,healthy
8,2,2,2,0.4166666666666667,0.6153846153846154,10,8,healthy
8,2,2,3,0.2916666666666667,0.2307692307692308,7,3,healthy
8,2,3,1,0.375,0.4,9,4,healthy
8,2,3,2,0.3333333333333333,0.5,8,5,healthy
8,2,3,3,0.2916666666666667,0.1,7,1,healthy
9,1,1,1,0.375,0.6666666666666666,9,4,healthy
9,1,1,2,0.2916666666666667,0.3333333333333333,7,2,healthy
9,1,1,3,0.3333333333333333,0.0,8,0,healthy
9,1,2,1,0.4583333333333333,0.4117647058823529,11,7,healthy
9,1,2,2,0.5,0.5882352941176471,12,10,healthy
9,1,2,3,0.04166666666666666,0.0,1,0,healthy
9,1,3,1,0.3333333333333333,0.4,8,2,healthy
9,1,3,2,0.5,0.2,12,1,healthy
9,1,3,3,0.16666666666666666,0.4,4,2,healthy
9,2,1,1,0.2916666666666667,0.16666666666666666,7,2,healthy
9,2,1,2,0.2916666666666667,0.25,7,3,healthy
9,2,1,3,0.4166666666666667,0.5833333333333334,10,7,healthy
9,2,2,1,0.04166666666666666,0.0,1,0,healthy
9,2,2,2,0.5416666666666666,0.5294117647058824,13,9,healthy
9,2,2,3,0.4166666666666667,0.4705882352941176,10,8,healthy
9,2,3,1,0.25,0.18181818181818185,6,2,healthy
9,2,3,2,0.4583333333333333,0.4545454545454545,11,5,healthy
9,2,3,3,0.2916666666666667,0.3636363636363637,7,4,healthy
10,1,1,1,0.2916666666666667,0.2,7,3,healthy
10,1,1,2,0.20833333333333331,0.2,5,3,healthy
10,1,1,3,0.5,0.6,12,9,healthy
10,1,2,1,0.0,0.0,0,0,healthy
10,1,2,2,0.8333333333333334,0.8260869565217391,20,19,healthy
10,1,2,3,0.16666666666666666,0.17391304347826084,4,4,healthy
10,1,3,1,0.0,0.0,0,0,healthy
10,1,3,2,0.7083333333333334,0.8,17,16,healthy
10,1,3,3,0.2916666666666667,0.2,7,4,healthy
10,2,1,1,0.3333333333333333,0.3333333333333333,8,5,healthy
10,2,1,2,0.125,0.2,3,3,healthy
10,2,1,3,0.5416666666666666,0.4666666666666667,13,7,healthy
10,2,2,1,0.25,0.2222222222222222,6,2,healthy
10,2,2,2,0.04166666666666666,0.0,1,0,healthy
10,2,2,3,0.7083333333333334,0.7777777777777778,17,7,healthy
10,2,3,1,0.25,0.15384615384615385,6,2,healthy
10,2,3,2,0.25,0.38461538461538464,6,5,healthy
10,2,3,3,0.5,0.4615384615384616,12,6,healthy
12,1,1,1,0.375,0.4615384615384616,9,6,healthy
12,1,1,2,0.25,0.3076923076923077,6,4,healthy
12,1,1,3,0.375,0.2307692307692308,9,3,healthy
12,1,2,1,0.20833333333333331,0.07692307692307693,5,1,healthy
12,1,2,2,0.5416666666666666,0.6153846153846154,13,8,healthy
12,1,2,3,0.25,0.3076923076923077,6,4,healthy
12,1,3,1,0.3333333333333333,0.0,8,0,healthy
12,1,3,2,0.16666666666666666,0.3333333333333333,4,1,healthy
12,1,3,3,0.5,0.6666666666666666,12,2,healthy
12,2,1,1,0.375,0.6363636363636364,9,7,healthy
12,2,1,2,0.20833333333333331,0.18181818181818185,5,2,healthy
12,2,1,3,0.4166666666666667,0.18181818181818185,10,2,healthy
12,2,2,1,0.5416666666666666,0.6666666666666666,13,2,healthy
12,2,2,2,0.125,0.3333333333333333,3,1,healthy
12,2,2,3,0.3333333333333333,0.0,8,0,healthy
12,2,3,1,0.2916666666666667,0.5,7,1,healthy
12,2,3,2,0.375,0.5,9,1,healthy
12,2,3,3,0.3333333333333333,0.0,8,0,healthy
13,1,1,1,0.375,0.5,9,3,healthy
13,1,1,2,0.4583333333333333,0.5,11,3,healthy
13,1,1,3,0.16666666666666666,0.0,4,0,healthy
13,1,2,1,0.3333333333333333,0.25,8,1,healthy
13,1,2,2,0.375,0.75,9,3,healthy
13,1,2,3,0.2916666666666667,0.0,7,0,healthy
13,1,3,1,0.5,0.0,12,0,healthy
13,1,3,2,0.2916666666666667,1.0,7,1,healthy
13,1,3,3,0.20833333333333331,0.0,5,0,healthy
13,2,1,1,0.75,0.6666666666666666,18,2,healthy
13,2,1,2,0.04166666666666666,0.0,1,0,healthy
13,2,1,3,0.20833333333333331,0.3333333333333333,5,1,healthy
13,2,2,1,0.3333333333333333,0.0,8,0,healthy
13,2,2,2,0.25,0.5,6,2,healthy
13,2,2,3,0.4166666666666667,0.5,10,2,healthy
13,2,3,1,0.16666666666666666,0.0,4,0,healthy
13,2,3,2,0.3333333333333333,0.4,8,2,healthy
13,2,3,3,0.5,0.6,12,3,healthy
14,1,1,1,0.20833333333333331,0.0,5,0,healthy
14,1,1,2,0.5833333333333334,1.0,14,11,healthy
14,1,1,3,0.20833333333333331,0.0,5,0,healthy
14,1,2,1,0.16666666666666666,0.0,4,0,healthy
14,1,2,2,0.6666666666666666,0.8888888888888888,16,8,healthy
14,1,2,3,0.16666666666666666,0.1111111111111111,4,1,healthy
14,1,3,1,0.5,0.0,12,0,healthy
14,1,3,2,0.2916666666666667,1.0,7,2,healthy
14,1,3,3,0.20833333333333331,0.0,5,0,healthy
14,2,1,1,0.375,0.1111111111111111,9,1,healthy
14,2,1,2,0.5,0.7777777777777778,12,7,healthy
14,2,1,3,0.125,0.1111111111111111,3,1,healthy
14,2,2,1,0.3333333333333333,0.25,8,1,healthy
14,2,2,2,0.25,0.75,6,3,healthy
14,2,2,3,0.4166666666666667,0.0,10,0,healthy
14,2,3,1,0.3333333333333333,0.0,8,0,healthy
14,2,3,2,0.25,0.3333333333333333,6,1,healthy
14,2,3,3,0.4166666666666667,0.6666666666666666,10,2,healthy
15,1,1,1,0.08333333333333333,0.1,2,1,healthy
15,1,1,2,0.8333333333333334,0.9,20,9,healthy
15,1,1,3,0.08333333333333333,0.0,2,0,healthy
15,1,2,1,0.08333333333333333,0.10526315789473684,2,2,healthy
15,1,2,2,0.875,0.8421052631578947,21,16,healthy
15,1,2,3,0.04166666666666666,0.05263157894736842,1,1,healthy
15,1,3,1,0.0,0.0,0,0,healthy
15,1,3,2,0.625,0.6,15,3,healthy
15,1,3,3,0.375,0.4,9,2,healthy
15,2,1,1,0.25,0.5,6,4,healthy
15,2,1,2,0.4166666666666667,0.375,10,3,healthy
15,2,1,3,0.3333333333333333,0.125,8,1,healthy
15,2,2,1,0.04166666666666666,0.25,1,1,healthy
15,2,2,2,0.5833333333333334,0.75,14,3,healthy
15,2,2,3,0.375,0.0,9,0,healthy
15,2,3,1,0.04166666666666666,0.0,1,0,healthy
15,2,3,2,0.375,1.0,9,3,healthy
15,2,3,3,0.5833333333333334,0.0,14,0,healthy
16,1,1,1,0.08333333333333333,0.16666666666666666,2,1,healthy
16,1,1,2,0.5833333333333334,0.8333333333333334,14,5,healthy
16,1,1,3,0.3333333333333333,0.0,8,0,healthy
16,1,2,1,0.08333333333333333,0.0,2,0,healthy
16,1,2,2,0.875,1.0,21,10,healthy
16,1,2,3,0.04166666666666666,0.0,1,0,healthy
16,1,3,1,0.16666666666666666,0.2,4,1,healthy
16,1,3,2,0.5833333333333334,0.6,14,3,healthy
16,1,3,3,0.25,0.2,6,1,healthy
16,2,1,1,0.5,0.5,12,1,healthy
16,2,1,2,0.16666666666666666,0.5,4,1,healthy
16,2,1,3,0.3333333333333333,0.0,8,0,healthy
16,2,2,1,0.375,1.0,9,2,healthy
16,2,2,2,0.125,0.0,3,0,healthy
16,2,2,3,0.5,0.0,12,0,healthy
16,2,3,1,0.4166666666666667,1.0,10,1,healthy
16,2,3,2,0.2916666666666667,0.0,7,0,healthy
16,2,3,3,0.2916666666666667,0.0,7,0,healthy
17,1,1,1,0.08333333333333333,0.05,2,1,healthy
17,1,1,2,0.7083333333333334,0.8,17,16,healthy
17,1,1,3,0.20833333333333331,0.15,5,3,healthy
17,1,2,1,0.04166666666666666,0.047619047619047616,1,1,healthy
17,1,2,2,0.9166666666666666,0.9523809523809524,22,20,healthy
17,1,2,3,0.04166666666666666,0.0,1,0,healthy
17,1,3,1,0.125,0.0625,3,1,healthy
17,1,3,2,0.6666666666666666,0.875,16,14,healthy
17,1,3,3,0.20833333333333331,0.0625,5,1,healthy
17,2,1,1,0.2916666666666667,0.2777777777777778,7,5,healthy
17,2,1,2,0.4583333333333333,0.5,11,9,healthy
17,2,1,3,0.25,0.2222222222222222,6,4,healthy
17,2,2,1,0.375,0.3333333333333333,9,5,healthy
17,2,2,2,0.4583333333333333,0.5333333333333333,11,8,healthy
17,2,2,3,0.16666666666666666,0.13333333333333333,4,2,healthy
17,2,3,1,0.2916666666666667,0.16666666666666666,7,1,healthy
17,2,3,2,0.20833333333333331,0.3333333333333333,5,2,healthy
17,2,3,3,0.5,0.5,12,3,healthy
19,1,1,1,0.5416666666666666,0.631578947368421,13,12,healthy
19,1,1,2,0.125,0.10526315789473684,3,2,healthy
19,1,1,3,0.3333333333333333,0.2631578947368421,8,5,healthy
19,1,2,1,0.375,0.4666666666666667,9,7,healthy
19,1,2,2,0.3333333333333333,0.3333333333333333,8,5,healthy
19,1,2,3,0.2916666666666667,0.2,7,3,healthy
19,1,3,1,0.16666666666666666,0.26666666666666666,4,4,healthy
19,1,3,2,0.2916666666666667,0.2,7,3,healthy
19,1,3,3,0.5416666666666666,0.5333333333333333,13,8,healthy
19,2,1,1,0.2916666666666667,0.25,7,5,healthy
19,2,1,2,0.16666666666666666,0.15,4,3,healthy
19,2,1,3,0.5416666666666666,0.6,13,12,healthy
19,2,2,1,0.375,0.5625,9,9,healthy
19,2,2,2,0.16666666666666666,0.0625,4,1,healthy
19,2,2,3,0.4583333333333333,0.375,11,6,healthy
19,2,3,1,0.25,0.25,6,4,healthy
19,2,3,2,0.2916666666666667,0.3125,7,5,healthy
19,2,3,3,0.4583333333333333,0.4375,11,7,healthy
21,1,1,1,0.375,0.4615384615384616,9,6,healthy
21,1,1,2,0.4583333333333333,0.3076923076923077,11,4,healthy
21,1,1,3,0.16666666666666666,0.2307692307692308,4,3,healthy
21,1,2,1,0.16666666666666666,0.14285714285714285,4,2,healthy
21,1,2,2,0.75,0.7857142857142857,18,11,healthy
21,1,2,3,0.08333333333333333,0.07142857142857142,2,1,healthy
21,1,3,1,0.08333333333333333,0.3333333333333333,2,2,healthy
21,1,3,2,0.4166666666666667,0.3333333333333333,10,2,healthy
21,1,3,3,0.5,0.3333333333333333,12,2,healthy
21,2,1,1,0.4166666666666667,0.4,10,6,healthy
21,2,1,2,0.25,0.3333333333333333,6,5,healthy
21,2,1,3,0.3333333333333333,0.26666666666666666,8,4,healthy
21,2,2,1,0.2916666666666667,0.35,7,7,healthy
21,2,2,2,0.4166666666666667,0.45,10,9,healthy
21,2,2,3,0.2916666666666667,0.2,7,4,healthy
21,2,3,1,0.5,0.5,12,4,healthy
21,2,3,2,0.16666666666666666,0.375,4,3,healthy
21,2,3,3,0.3333333333333333,0.125,8,1,healthy
101,1,1,1,0.125,0.0,3,0,ptsd
101,1,1,2,0.4166666666666667,0.75,10,6,ptsd
101,1,1,3,0.4583333333333333,0.25,11,2,ptsd
101,1,2,1,0.125,0.0625,3,1,ptsd
101,1,2,2,0.625,0.875,15,14,ptsd
101,1,2,3,0.25,0.0625,6,1,ptsd
101,1,3,1,0.20833333333333331,0.2727272727272727,5,3,ptsd
101,1,3,2,0.4166666666666667,0.7272727272727273,10,8,ptsd
101,1,3,3,0.375,0.0,9,0,ptsd
